server,peer,combination,delay,chaincode,payload,send rate,max lat,min lat,avg lat,TPS,link1,link2,link3,link4,link5,link6,link7,server1,server2,server3,server4,server5,server6,server7,server8
5,6,11211,50.100.250.350,Create,4000,778.8,0.96,0.08,0.32,632.7,50,100,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.250.350,Create,7000,767.8,2.46,0.1,0.51,452.4,50,100,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.250.350,Create,10000,554.9,9.99,0.08,0.95,192.2,50,100,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.250.350,Create,13000,394.7,5.1,0.06,0.51,199.3,50,100,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.250.350,Create,16000,395.9,3.68,0.06,0.41,344.8,50,100,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.250.350,Create,19000,337.2,5.63,0.06,0.78,256.5,50,100,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.200.250.350,Create,100,780.3,0.93,0.04,0.28,600.6,50,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.200.250.350,Create,1000,770.1,0.73,0.06,0.28,661.4,50,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.200.250.350,Create,4000,770.7,1.09,0.08,0.33,623.6,50,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.200.250.350,Create,7000,782.5,4.55,0.07,0.46,289.9,50,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.200.250.350,Create,10000,770.4,4.96,0.07,0.78,332.5,50,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.200.250.350,Create,13000,393.9,4.74,0.06,0.53,268.0,50,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.200.250.350,Create,16000,396.6,11.13,0.06,1.68,164.4,50,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.200.250.350,Create,19000,394.4,8.39,0.06,1.11,197.8,50,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,12111,50.100.200.250,Create,100,782.2,0.84,0.05,0.23,620.5,50,100,200,250,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.250,Create,1000,772.5,0.56,0.05,0.21,694.7,50,100,200,250,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.250,Create,4000,775.2,0.61,0.07,0.17,629.3,50,100,200,250,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.250,Create,7000,781.9,0.55,0.08,0.23,741.0,50,100,200,250,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.250,Create,10000,784.0,1.15,0.12,0.83,555.7,50,100,200,250,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.250,Create,13000,394.3,0.49,0.06,0.11,383.1,50,100,200,250,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.250,Create,16000,395.0,0.58,0.06,0.14,379.4,50,100,200,250,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.250,Create,19000,342.3,0.6,0.06,0.28,319.1,50,100,200,250,0,0,0,1,2,1,1,1,0,0,0
5,6,11211,100.200.250.350,Create,100,782.8,0.92,0.04,0.29,603.9,100,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,100.200.250.350,Create,1000,777.6,0.75,0.05,0.3,667.3,100,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,100.200.250.350,Create,4000,778.2,0.93,0.08,0.33,621.3,100,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,100.200.250.350,Create,7000,767.5,7.38,0.07,0.58,203.0,100,200,250,350,0,0,0,1,1,2,1,1,0,0,0
